p226\p226_001.wav|Please call Stella.|0
p226\p226_002.wav|Ask her to bring these things with her from the store.|0
p226\p226_003.wav|Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.|0
p226\p226_004.wav|We also need a small plastic snake and a big toy frog for the kids.|0
p226\p226_005.wav|She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.|0
p226\p226_006.wav|When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.|0
p226\p226_007.wav|The rainbow is a division of white light into many beautiful colors.|0
p226\p226_008.wav|These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.|0
p226\p226_009.wav|There is , according to legend, a boiling pot of gold at one end.|0
p226\p226_010.wav|People look, but no one ever finds it.|0
p301\p301_001.wav|Please call Stella.|1
p301\p301_002.wav|Ask her to bring these things with her from the store.|1
p301\p301_003.wav|Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.|1
p301\p301_004.wav|We also need a small plastic snake and a big toy frog for the kids.|1
p301\p301_005.wav|She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.|1
p301\p301_006.wav|When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.|1
p301\p301_007.wav|The rainbow is a division of white light into many beautiful colors.|1
p301\p301_008.wav|These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.|1
p301\p301_009.wav|There is , according to legend, a boiling pot of gold at one end.|1
p301\p301_010.wav|People look, but no one ever finds it.|1
